dll_name,registration_call_address,interface_uuid,interface_address,flags,security_callback,has_security_descriptor,global_caching_enabled
termsrv.dll,0x18006056a,497d95a6-2d27-4bf5-9bbd-a6046957133c,0x1800d2080,0x9,0x180006ef0,False,True
termsrv.dll,0x1800605a8,5267aaba-4f49-4653-8e26-d1e11f3f2ad9,0x1800d2140,0x9,0x18001acf0,False,True
termsrv.dll,0x18006501c,5ca4a760-ebb1-11cf-8611-00a0245420ed,0x1800d7c90,0x11,0x1800653e0,False,True
termsrv.dll,0x18009de72,2f59a331-bf7d-48cb-9e5c-7c090d76e8b8,0x1800da770,0x8,0x18009e9b0,False,True
termsrv.dll,0x1800605ee,28098650-fe3c-4af4-8a41-8bcd284941c5,0x1800d2020,0x9,0x18001acf0,False,True
TimeBrokerServer.dll,0x18001b8c5,unknown,rdx,0x21,unknown,False,True
TransformationRulesParser.exe,0x14000170d,b9f9a38a-1d88-49a1-b250-8bd8a5e98292,0x1400042a0,0x29,0x140001530,False,True
trkwks.dll,0x18001076b,300f3532-38cc-11d0-a3f0-0020af6b0add,0x180014b50,r8,0,False,unknown
tsgqec.dll,0x180002b5c,05ebb278-e114-4ec1-a5a3-096153f300e4,0x18000ce30,0x29,0x180002ff0,False,True
tssdjet.dll,0x180003a8a,9b3195fe-d603-43d1-a0d5-9072d7cde122,0x180015e80,0,0x180003250,False,True
tssdjet.dll,0x180003afc,89759fce-5a25-4086-8967-de12f39a60b5,0x180015b40,0x8,0x180003860,False,True
ttdrecord.dll,0x1800180f9,ae987d31-12d4-450d-90ce-0d6e7cb483be,0x18006b920,0,,False,True
ubpm.dll,0x1800358dd,2a82bb21-e44f-4791-9aa1-dfae788e2f43,0x18003a380,0x21,0x180014420,False,True
uireng.dll,0x180033cf3,b50f395f-b08b-495a-b2d3-b8201e1f2388,0x18003f820,unknown,unknown,False,unknown
umpo.dll,0x18001349b,6c9b7b96-45a8-4cca-9eb3-e21ccf8b5a89,0x180018050,0x11,0x0,False,True
umpoext.dll,0x18001981e,d9645e86-6f62-4cc6-91f2-a696afa77fb2,0x18001f630,unknown,unknown,False,unknown
umrdp.dll,0x18000afb1,c80066a8-7579-44fc-b9b2-8466930791b0,0x180044710,0x29,0x18000b810,False,True
umrdp.dll,0x180028287,7212a04b-b463-402e-9649-2ba477394676,0x180044930,0x29,0x180028490,False,True
Unistore.dll,0x18003f330,unknown,0x1800beab0,0x21,0x18003f6b0,False,True
UserDataService.dll,0x18005d920,unknown,unknown,0x29,0x0,False,True
usermgr.dll,0x180025f10,b18fbab6-56f8-4702-84e0-41053293a869,0x1800e6ec0,0x29,0x0,False,True
usermgr.dll,0x180025f7b,0d3c7f20-1c8d-4654-a1b3-51563b298bda,0x1800e6e60,0x29,0x0,False,True
usermgr.dll,0x180055971,b18fbab6-56f8-4702-84e0-41053293a869,0x1800e6ec0,unknown,0x0,False,unknown
usermgr.dll,0x180055a50,unknown,unknown,0x29,0x0,False,True
vaultsvc.dll,0x180002126,bb8b98e8-84dd-45e7-9f34-c3fb6155eeed,0x180046000,0x69,0x18000f1f0,False,False
vmrdvcore.dll,0x18004c46b,f763c91c-2ab1-47fa-868f-7de7efd42194,0x180052bb0,0x29,0x18004c5b0,False,True
vpnike.dll,0x1800697db,81ee95a8-882e-4615-888a-53344ca149e4,0x1800843a0,0x29,0x180069640,False,True
w32time.dll,0x18003c39a,8fb6d884-2388-11d0-8c35-00c04fda2795,0x18004cdb0,0x89,0x18003bc30,False,False
WaaSMedicAgent.exe,0x1400087e4,b35534c5-a66e-473f-afa3-a4b21c02ea27,0x14000f400,0,0x140008b00,False,True
wcmsvc.dll,0x180067001,unknown,0,unknown,unknown,False,unknown
webplatstorageserver.dll,0x180018ee8,0820a0d0-1aae-49f9-acf9-3e3d3fe303cb,0x1800e1120,0x29,0x18002ad80,False,True
webplatstorageserver.dll,0x180018f4e,b754ffa1-7b7b-4fb1-9d0c-f12bbda17593,0x1800e1180,0x29,0x18002ad80,False,True
webplatstorageserver.dll,0x180018fb4,ade78933-5718-4476-9ce3-6be8cc4d1cc8,0x1800e11e0,0x29,0x18002ad80,False,True
webplatstorageserver.dll,0x18001901a,46f91c6b-1f95-4bff-8490-eb648ca0a9b9,0x1800e1240,0x29,0x18002ad80,False,True
webplatstorageserver.dll,0x180019080,1be3206b-2e03-4ea1-9321-12f4dfcd41d0,0x1800e12a0,0x29,0x18002ad80,False,True
webplatstorageserver.dll,0x1800190e6,c59c3bf4-7812-43e9-bc34-d369f1cf8416,0x1800e1300,0x29,0x18002ad80,False,True
wecsvc.dll,0x180001ffe,69510fa1-2f99-4eeb-a4ff-af259f0f9749,0x180023130,unknown,0x180001ef0,False,unknown
wephostsvc.dll,0x1800017c7,56244243-3ed3-4013-b3e7-0fc809e35fba,0x180005410,0x29,0x180001630,False,True
wevtsvc.dll,0x18007d38b,82273fdc-e32a-18c3-3f78-827929dc23ea,0x1800ea400,0x11,0x1800366b0,False,True
wevtsvc.dll,0x18007d460,f6beaff7-1e19-4fbb-9f8f-b89e2018337c,0x1800e8500,0x9,0x180036670,False,True
wiaservc.dll,0x18001349d,8c7a6de0-788d-11d0-9edf-444553540000,0x18006e710,unknown,0x180015e30,False,unknown
wimserv.exe,0x140002579,6d9fe472-30f1-4708-8fa8-678362b96155,0x14006f9f0,0,,False,True
Windows.Internal.Devices.Bluetooth.dll,0x180058e23,unknown,rdx,0x10,unknown,False,True
Windows.Internal.Graphics.Display.DisplayColorManagement.dll,0x1800180eb,509bc7ae-77be-4ee8-b07c-0d096bb44345,0x1800311d0,0x29,0x0,False,True
Windows.StateRepository.dll,0x1800c3b8e,78dcce84-7f13-4139-b8cd-ef222aa0408b,0x1803b9d50,0x21,0x0,False,True
winhttp.dll,0x17610428a,3473dd4d-2e88-4006-9cba-22570909dd10,0x176153f90,0x29,0,True,True
