dll_name,registration_call_address,interface_uuid,interface_address,flags,security_callback,has_security_descriptor,global_caching_enabled
netlogon.dll,0x180026981,12345678-1234-abcd-ef00-01234567cffb,0x18006c080,0x91,0x18002e2d0,False,False
netprofmsvc.dll,0x18007c774,4c8d0bef-d7f1-49f0-9102-caa05f58d114,0x1800c9520,0x29,0x18007c3d0,False,True
netprofmsvc.dll,0x18007dc7b,unknown,0x1800c95b0,0x29,0x18007da40,True,True
netprofmsvc.dll,0x1800c0360,unknown,rdx,0x11,0x1800c0540,True,True
nlasvc.dll,0x18001b697,unknown,rdx,0x9,0x1800166b0,False,True
nlasvc.dll,0x18001b75f,unknown,rdx,0x9,0x1800166b0,False,True
nsisvc.dll,0x18000263f,7ea70bcf-48af-4f6a-8968-6a440754d5fa,0x180005000,unknown,0x180002290,False,unknown
ntdsai.dll,0x1800013d1,unknown,unknown,0x8,0x180128300,False,True
ntdsai.dll,0x18017631c,unknown,0x180506260,0x20,0x180281860,False,True
ntfrs.exe,0x1400187fa,f5cc59b4-4264-101a-8c59-08002b2f8426,0x14009bf80,0x8,0x140018660,False,True
ntfrs.exe,0x140018872,d049b186-814f-11d1-9a3c-00c04fc9b232,0x14009c280,0,0x140018660,False,True
ntfrs.exe,0x140018907,a00c021c-2be2-11d2-b678-0000f87a8f8e,0x14009ca30,0x8,0x140018690,False,True
pcasvc.dll,0x18000d150,0767a036-0d22-48aa-ba69-b619480f38cb,0x180098030,unknown,unknown,False,unknown
PimIndexMaintenance.dll,0x180001ad7,43890c94-bfd7-4655-ad6a-b4a68397cdcb,0x180026e00,0x29,0,False,True
pla.dll,0x1800cd07c,647d4452-9f33-4a18-b2be-c5c0e920e94e,0x180141170,0x29,0x1800cdb00,False,True
PlaySndSrv.dll,0x180001c21,9d420415-b8fb-4f4a-8c53-4502ead30ca9,0x180006130,0x28,0x1800027c0,False,True
profsvc.dll,0x18001c68d,326731e3-c1c0-4a69-ae20-7d9044a4ea5c,0x180050070,0x21,0x180007f40,False,True
PsmServiceExtHost.dll,0x18004c732,dd59071b-3215-4c59-8481-972edadc0f6a,0x1800a5050,0x29,0x0,False,True
PsmServiceExtHost.dll,0x18004cfe0,unknown,0,unknown,unknown,False,unknown
psmsrv.dll,0x180013e4e,unknown,unknown,0,unknown,False,True
rascustom.dll,0x180055639,unknown,0,0,0,True,True
rasmans.dll,0x18000a926,20610036-fa22-11cf-9823-00a0c911e5df,0x1800df110,0x9,0x18000a670,False,True
rdpclip.exe,0x14001901b,de79fc6c-dc6f-43c7-a48e-63bbc8d4009d,0x140073740,0,0x140018b10,False,True
rdpclip.exe,0x1400421bc,unknown,rdx,0x28,0x140042310,False,True
rdpinit.exe,0x14003401c,unknown,rdx,0x28,0x140034170,False,True
rdpshell.exe,0x14002d7c9,04557228-209a-46b4-aaa4-4eb4c84db7a2,0x14005e190,0x28,0x14002da30,False,True
ResourcePolicyServer.dll,0x18001541a,unknown,r8,0x29,0,False,True
RpcEpMap.dll,0x180005645,1d55b526-c137-46c5-ab79-638f2a68e869,0x18000c0f0,0,0x180009a30,False,True
RpcEpMap.dll,0x18000971d,e1af8308-5d1f-11c9-91a4-08002b14a0fa,0x18000c030,0,unknown,False,True
RpcEpMap.dll,0x1800055c6,e1af8308-5d1f-11c9-91a4-08002b14a0fa,0x18000c030,unknown,0x180004d10,True,unknown
RpcEpMap.dll,0x180005606,0b0a6584-9e0f-11cf-a3cf-00805f68cb1b,0x18000c090,0,0x180004c40,True,True
rpcss.dll,0x18005e705,412f241e-c12a-11ce-abff-0020af6e7a17,0x180108900,unknown,0x180036250,True,unknown
rpcss.dll,0x18005e749,00000136-0000-0000-c000-000000000046,0x1801088a0,0x60,0x180036250,True,False
