Work Path,Chat File Name
C:\\ProgramData\\Microsoft\\Windows\\Start Menu\\Programs\\AudibleFree,185.25.51.173-20200622.json
C:\\ProgramData\\Microsoft\\Windows\\Start Menu\\Programs\\CleanMaster,185.25.51.173-20200625.json
C:\\ProgramData\\Microsoft\\Windows\\Start Menu\\Programs\\AdvancedTuneUp,185.25.51.173-20200724.json
C:\\ProgramData\\Microsoft\\Windows\\Start Menu\\Programs\\FreeTuneUp,185.25.51.173-20200728.json
C:\\Program Files\\WinBar,185.25.51.173-20200803.json
C:\\Program Files\\WinTools,185.25.51.173-20200812.json
AppData\\Roaming\\FWinTools,185.25.51.173-20200824.json
C:\\Program Files\\JavaLibs,185.25.51.173-20200901.json
AppData\\Roaming\\GlaryUtilities,185.25.51.173-20200908.json
